,Branch_Name,Address, Floor_Number,M_F_Operating_Hours ，W_PH_Operating_Hours,Telephone,Staff_Break_Hours,Area
0,十二味（中環德己立街）,中環德己立街21號地舖,G,11:30-16:00；17:00-22:00,63660242,16：00-17：00，22：00-11：30,Kowloon/NT/HK island
1,十二味 (堅尼地城),堅尼地城卑路乍街13號珍珠閣地下2-4號舖,G,11:30-15:45；17:00-22:15週一-週五； 週末及公眾假期 11:30-22:15,67901070,周一-周五 15：45-17：00 周末及公衆假日22：15-11：30,Kowloon/NT/HK island
2,十二味熱辣火鍋莊（西營盤）,西環皇后大道西399-401號利時大廈地鋪,G,11:00-15:30; 17:00-22:15 週一-週五；週末及公眾假期 11:00-22:15,54984845,周一-周五15：30-17：00 周末及公衆假期 22：15-11：00,Kowloon/NT/HK island
3,十二味 (北角）,北角和富道21-53號和富地下G20-21號舖,G,11:00-16:00; 17:00-22:00 週一-週四；週五-週日及公眾假期 11:00-22:00,95607594,周一-周四16：00-17：00 周五-周日及公衆假期22：00-11：00,Kowloon/NT/HK island
4,十二味 (香港仔中心4期),香港仔南寧街11號香港仔中心4期地下7號,G,11:00-16:00; 17:30-22:00週一-週五；週末及公眾假期 11:00-22:00,62760901,周一-周五16：00-17：30 周末及公衆假期22：00-11：00,Kowloon/NT/HK island
5,十二味 (旺角文華商場),九龍旺角砵蘭街240-244號旺角文華商場5樓B室,5,11:30-16:00; 17:00-22:00週一-週五；週末及公眾假期 11:30-22:00,65022791,周一-周五16：00-17：00 周末及公衆假期22：00-11：30,Kowloon/NT/HK island
6,十二味 (尖沙咀),尖沙咀赫德道1-3A號利威商業大廈地下6號舖及1樓,G&1,11:30-16:00; 17:00-22:30週一-週五；週末及公眾假期 11:30-22:30,26121298 / 26121228,周一-周五16：00-17：00 周末及公衆假期22：30-11：30,Kowloon/NT/HK island
7,十二味 (荔枝角),"九龍荔枝角長義街15號 D2 Place 2期2樓Shops 212B, 213, 216A鋪",2,11:00-16:30; 17:30-22:00週一-週五；週末及公眾假期 11:00-22:00,65023560,周一-周五16：30-17：30 周末及公衆假期22：00-11：00,Kowloon/NT/HK island
8,十二味（奧海城二期）,大角咀海庭道18號奧海城2期1樓146B號舖,1,11:00-16:00; 17:00-22:00週一-週五；週末及公眾假期 11:00-22:00,51219526,周一-周五16：00-17：00 周末及公衆假期 22：00-11：00,Kowloon/NT/HK island
9,十二味 (觀塘),觀塘協和街33號裕民坊YM² 3樓308號舖,3,11:00-16:00; 17:00-22:00週一-週四；週五-週日及公眾假期 11:00-22:00,97879060,周一-周四16：00-17：00 周五-周日及公衆假期22：00-11：00,Kowloon/NT/HK island
10,十二味 (黃大仙中心南館),黃大仙正德街103號黃大仙中心南館1樓101號舖,1,11:00-16:00; 17:00-21:30週一-週四；週五-週日及公眾假期 11:00-21:30,63672412,周一-周四16：00-17：00 周五-周日及公衆假期21：30-11：00,Kowloon/NT/HK island
11,十二味 (啟德),九龍城沐泰街9號嘉峯匯1樓10號舖,1,11:00-16:00; 17:30-22:00週一-週五；週末及公眾假期 11:00-22:00,67900755,周一-周五16：00-17：30 周末及公衆假期 22：00-11：00,Kowloon/NT/HK island
12,十二味 (青衣城二期),青衣青敬路31號青衣城二期2樓224號舖,2,11:00-16:00； 17:00-22:00週一-週五；週末及公眾假期 11:00-22:00,26682115,周一-周五16：00-17：00 周末及公衆假期22：00-11：00,Kowloon/NT/HK island
13,十二味 (屯門卓爾廣場),屯門石排頭徑1號卓爾廣場地下G1B號舖,G,11:00-16:00; 17:00-22:00週一-週四；週五-週日及公眾假期 11:00-22:00,​                    67900865,周一-周四16：00-17：00 周五-周日及公衆假期22：00-11：00,Kowloon/NT/HK island
14,十二味 (石門京瑞廣場),沙田安群街1號京瑞廣場2期地下G17&43號舖,G,11:00-16:30; 17:30-22:30週一-週五；週末及公眾假期 11:00-22:30,94891596,周一-周五16：30-17：30 周末及公衆假期22：30-11：00,Kowloon/NT/HK island
15,十二味 (將軍澳中心）,將軍澳唐德街9號將軍澳中心B樓B15號舖,G,11:30-16:00; 17:00-21:45週一-週四；週五-週日及公眾假期 11:30-21:45,63661242,周一-周四16：00-17：00 周末及公衆假期21：45-11：30,Kowloon/NT/HK island
16,十二味 (大圍),大圍村南道45-47號搵食市集1樓11號舖,1,11:30-16:00; 17:00-22:30週一-週五，週末及公眾假期 11:30-22:30,55395811,周一-周五16：00-17：00 周末及公衆假期22：30-11：30,Kowloon/NT/HK island
